Price,Close,High,Low,Open,Volume
Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
Date,,,,,
5/18/20,214.525055,215.908463,207.10907,207.179779,1.74E+10
5/19/20,213.451111,214.604935,210.143051,214.604935,1.43E+10
5/20/20,210.096741,214.716827,207.975815,213.446243,1.27E+10
5/21/20,199.883606,211.625183,193.346436,210.12915,1.33E+10
5/22/20,207.169189,208.591537,198.040863,199.837112,1.20E+10
5/23/20,208.694397,210.386459,205.29422,207.194489,1.07E+10
5/24/20,202.370346,210.595078,202.370346,208.716064,1.18E+10
5/25/20,205.319748,206.36145,200.667557,201.982651,1.04E+10
5/26/20,201.902313,205.752548,200.264282,205.259567,1.02E+10
5/27/20,208.863434,208.863434,201.785065,201.893005,1.06E+10
5/28/20,219.840424,220.276505,206.242661,208.885437,1.22E+10
5/29/20,220.675125,224.216873,218.238052,219.925049,1.23E+10
5/30/20,242.345596,243.943146,218.744461,220.717209,1.50E+10
5/31/20,230.975708,244.045258,230.052826,242.351379,1.22E+10
6/1/20,246.99176,248.236282,230.488052,230.86026,1.40E+10
6/2/20,237.219055,252.222,233.225296,246.828186,1.38E+10
6/3/20,244.179321,244.179321,235.464447,237.395218,9861760817
6/4/20,244.426392,245.92897,236.765305,244.105286,1.02E+10
6/5/20,241.221985,247.329498,240.682053,244.349594,9293963914
6/6/20,241.93132,245.981049,239.724533,241.201355,8114873845
6/7/20,245.167252,245.435257,236.325256,241.908081,9544883157
6/8/20,246.309906,246.644196,241.542191,245.178574,8076783299
6/9/20,244.911453,248.342438,242.338547,246.175018,8446545788
6/10/20,247.444946,248.651154,242.819748,244.822067,8792990206
6/11/20,231.702667,249.888306,229.942978,247.548538,1.24E+10
6/12/20,237.49321,239.354691,229.645065,231.625458,8868955009
6/13/20,238.908844,239.1931,235.889679,237.544617,7141624980
6/14/20,234.1147,239.101456,232.958191,238.968185,7439385176
6/15/20,229.928909,234.237839,221.24176,234.058304,1.05E+10
6/16/20,234.416168,236.394302,228.426147,229.762299,7965648016
6/17/20,233.028275,235.954056,229.341644,234.492371,7701391592
6/18/20,232.101166,234.570648,228.951431,232.898697,6713800872
6/19/20,227.13829,232.154114,226.795181,231.954971,6946372590
6/20/20,229.274261,231.44902,226.640625,226.976364,6252830566
6/21/20,228.989822,232.358948,228.492996,229.216141,5600408178
6/22/20,242.533188,243.776016,228.934738,229.003372,9079586552
6/23/20,244.142151,244.86441,239.759735,242.537018,6624530348
6/24/20,235.772461,248.508026,232.807739,244.185928,8815030025
6/25/20,232.944489,236.053406,230.2966,235.70285,7010426122
6/26/20,229.668045,233.901932,229.25946,232.877487,7187490226
6/27/20,222.959793,232.493423,220.564575,229.631485,6918380955
6/28/20,225.347168,228.598282,219.472672,222.91449,6205925718
6/29/20,228.19487,229.903214,222.25499,225.361435,6726164653
6/30/20,226.315002,229.476807,224.815186,227.96843,6094093001
7/1/20,231.113419,232.756119,224.835739,226.134583,6463737443
7/2/20,229.392197,232.396881,225.46196,231.28891,6212210566
7/3/20,225.38707,229.629318,224.913971,229.318954,5109032700
7/4/20,229.074112,230.054138,225.133316,225.288483,5228310135
7/5/20,227.664597,229.85672,224.544495,228.976196,5292172429
7/6/20,241.510223,242.132706,227.029526,227.685013,8782917553
7/7/20,239.075531,242.681854,234.218658,240.972595,6441497597
7/8/20,246.670013,248.308868,238.398376,239.159973,9892586411
7/9/20,243.015961,247.291672,239.898651,246.748291,8429099199
7/10/20,240.984985,242.883789,236.73053,242.868011,7281370522
7/11/20,239.458176,241.527481,238.331238,241.044785,5643067316
7/12/20,242.131699,243.311142,237.770218,239.459641,6596394718
7/13/20,239.604584,244.310516,238.232376,242.18187,7787751468
7/14/20,240.211487,242.003784,237.796188,239.975616,7357458555
7/15/20,238.423523,241.402695,237.096176,240.143646,6189328448
7/16/20,233.640884,239.006256,231.62117,238.450912,5832057567
7/17/20,232.773087,234.41507,232.10997,233.691391,5859850529
7/18/20,235.48381,236.543976,232.32489,232.855682,5397402117
7/19/20,238.487518,239.16069,233.279739,235.458298,6251377305
7/20/20,236.153168,239.576248,234.852646,238.494873,5600686192
7/21/20,245.016724,246.186264,235.680969,236.302505,6806696015
7/22/20,262.190643,262.985046,242.484344,245.037262,7702077383
7/23/20,274.689056,277.583466,261.047089,262.388641,1.03E+10
7/24/20,279.215424,286.192841,269.239777,274.722687,9466060358
7/25/20,304.056763,306.740997,279.026367,279.026367,1.08E+10
7/26/20,309.643616,316.386322,300.267822,303.692383,1.20E+10
7/27/20,321.514099,330.701202,309.657928,309.657928,1.56E+10
7/28/20,316.657257,325.905975,307.721344,321.829742,1.24E+10
7/29/20,318.190887,324.380798,313.109589,316.555359,1.09E+10
7/30/20,334.586639,338.631195,315.751099,318.144989,1.18E+10
7/31/20,345.554657,348.611359,329.340942,334.633728,1.20E+10
8/1/20,385.199707,388.847961,343.587433,345.798615,1.40E+10
8/2/20,370.671722,411.228302,357.143646,385.549866,1.89E+10
8/3/20,386.295166,396.506989,369.336334,371.13385,1.28E+10
8/4/20,389.875488,400.700623,382.985107,386.156464,1.41E+10
8/5/20,401.590576,406.303955,386.218475,389.710815,1.29E+10
8/6/20,394.961945,403.488678,392.600189,401.583862,1.13E+10
8/7/20,379.512848,398.249023,367.935516,395.226868,1.28E+10
8/8/20,393.987366,393.987366,377.349731,379.551575,9342060531
