Price,Close,High,Low,Open,Volume
Ticker,VWS.CO,VWS.CO,VWS.CO,VWS.CO,VWS.CO
Date,,,,,
5/18/20,123.769669,123.927341,121.168141,121.246977,3165475
5/19/20,123.454338,126.607703,121.759402,124.439765,4323715
5/20/20,124.400345,124.439763,121.995907,123.414918,3395620
5/25/20,129.524567,129.958157,124.16384,124.715677,3317575
5/26/20,132.796188,135.200634,129.603413,130.667677,4339205
5/27/20,128.89389,134.806454,128.775629,133.939273,4464575
5/28/20,131.574249,132.717333,130.273478,131.180069,4244635
5/29/20,134.767014,136.146621,130.667648,131.337731,7420585
6/2/20,136.777313,137.053232,135.082377,136.225476,2652550
6/3/20,138.70874,139.378839,136.028377,137.210902,3450545
6/4/20,138.275162,138.393408,136.10721,137.959818,2482320
6/8/20,138.905838,139.930676,137.605067,139.930676,3081250
6/9/20,141.901535,142.571618,139.733598,140.048927,3479015
6/10/20,138.511658,144.148303,137.407984,141.822694,4488895
6/11/20,131.455994,135.831293,131.219501,135.791883,4364810
6/12/20,130.588837,132.165511,127.514293,128.263228,3408025
6/15/20,132.126083,132.480838,127.356619,127.987292,2704575
6/16/20,133.742203,135.791893,131.692512,135.003549,3355395
6/17/20,134.136353,135.752453,133.072089,134.491107,2906930
6/18/20,130.825333,134.175795,129.879331,132.047268,4584475
6/19/20,130.785904,132.638512,130.785904,131.968414,4307460
6/22/20,132.677917,132.677917,128.302618,129.288046,2513280
6/23/20,134.964127,134.964127,132.283763,133.821027,2588565
6/24/20,132.835602,135.752458,132.520258,135.003539,3101685
6/25/20,130.312897,133.702754,130.115799,132.047243,3048570
6/26/20,130.864746,133.663356,130.864746,131.574255,2266515
6/29/20,131.061844,132.441436,129.248661,130.667679,2315360
6/30/20,133.111526,134.018118,131.337754,131.653098,2662980
7/1/20,137.762756,138.787594,134.806474,135.003557,4021390
7/2/20,140.206589,140.521933,137.289732,138.196324,3096535
7/3/20,139.024094,141.349703,138.905847,139.53652,2363580
7/6/20,139.891266,141.113186,138.19633,140.127759,1896750
7/7/20,141.389114,141.783294,139.457685,139.536521,2579020
7/8/20,144.936661,144.936661,141.231459,141.389116,4342170
7/9/20,147.695847,148.602438,145.882649,146.828666,3700025
7/10/20,146.316238,147.538174,145.724991,147.104583,2399280
7/13/20,149.58786,149.58786,146.631578,147.025743,2146925
7/14/20,145.291397,149.666697,144.148298,149.587861,2880140
7/15/20,154.396729,154.396729,146.946901,147.577574,4004555
7/16/20,155.579269,155.579269,150.770379,152.741234,3107555
7/17/20,157.707779,159.087386,155.973432,156.131104,3038065
7/20/20,162.556091,164.48752,157.983709,158.299038,4105090
7/21/20,166.813126,167.443798,163.620336,163.856844,4052980
7/22/20,167.364975,168.15332,165.39412,166.931385,2388900
7/23/20,170.478912,171.188421,166.852547,167.916796,2720445
7/24/20,167.128479,169.099334,166.064216,169.099334,2636750
7/27/20,166.340118,167.28612,163.778002,166.143036,2522130
7/28/20,164.053925,166.300697,163.107923,165.985369,2302835
7/29/20,159.126785,164.172183,157.550111,162.122492,4251850
7/30/20,161.058228,162.832,157.668355,158.4567,3074545
7/31/20,159.993973,163.738599,159.323874,161.531237,2288380
8/3/20,164.211609,164.211609,159.205636,159.836309,2385895
8/4/20,162.98967,165.748869,160.664061,165.472951,2209240
8/5/20,166.02478,166.261288,164.211598,164.960517,2171825
8/6/20,165.551788,166.655462,164.132771,165.512378,1575135
