Price,Close,High,Low,Open,Volume
Ticker,WISE.L,WISE.L,WISE.L,WISE.L,WISE.L
Date,,,,,
7/7/21,880,880,796,800,62662462
7/8/21,965,971.669983,833,890,5881359
7/9/21,965,1029.80005,960.700012,987,9504096
7/12/21,952.200012,1010,939.799988,970,4851719
7/13/21,965,994,942.200012,961.599976,3031882
7/14/21,969.400024,982,960,970,2413904
7/15/21,975,980,960,978,2550687
7/16/21,934,990,901,980.799988,1364181
7/19/21,939,955.799988,906.200012,952,2172031
7/20/21,953,966.599976,910,930,3278932
7/21/21,960,961,910,910,2429005
7/22/21,962,965,945,962.400024,1527143
7/23/21,961.200012,966.799988,948.400024,955,1041688
7/26/21,950.400024,974.937988,950.400024,961.200012,1169450
7/27/21,971,971.799988,960,963.599976,1320689
7/28/21,962.200012,974.400024,950,969,2504125
7/29/21,970,972.200012,959,960,1280714
7/30/21,981,999,936.400024,936.400024,4323428
8/2/21,980.599976,991.400024,975,990,1273110
8/3/21,978,985,975.599976,980,372207
8/4/21,969,980.400024,958.034973,977.200012,507763
8/5/21,970,979.39502,960.200012,972.200012,757532
8/6/21,975.400024,978.799988,969.880981,970,699014
8/9/21,995,1002.5,965,965,1636307
8/10/21,982.200012,1048.28101,982.200012,992.400024,1821421
8/11/21,1000,1007.5,981,985.200012,1175688
8/12/21,1000,1009,989.794983,1000,914100
8/13/21,983.599976,1001,982.400024,998,952766
8/16/21,986.599976,998.799988,983,990,639592
8/17/21,990,1018.5,980,980,2051578
8/18/21,1008,1009,992.200012,995.200012,1082646
8/19/21,994.599976,1010.5,985,997,1627342
8/20/21,995,1003,987,995.400024,786586
8/23/21,1000.5,1007.5,998,998.799988,987867
8/24/21,999.200012,1005.42297,995,996.200012,1315435
8/25/21,994.599976,1002.5,993.130005,996.400024,442252
8/26/21,992.200012,1001,980,998,717164
8/27/21,995,1000.60999,990.200012,994,955709
8/31/21,999,1002.5,794.651978,999,1615178
9/1/21,1000,1010.92999,990.200012,1000,1875430
9/2/21,1012.5,1015,995,1005,1576560
9/3/21,1020,1050,1012.5,1014,3351506
9/6/21,1021.5,1048.5,1016.5,1040,910394
9/7/21,1013,1040,1012.5,1040,757040
9/8/21,1014.5,1022.5,995.599976,1012.5,1439942
9/9/21,1012.5,1021,993.599976,993.799988,727018
9/10/21,1021.5,1030,1013.5,1015.5,749010
9/13/21,1025.5,1031.5,1013.5,1017,788605
9/14/21,1045.5,1045.5,1015,1028,1274853
9/15/21,1042.5,1051.13599,1036,1042,1416153
9/16/21,1094,1106,1042,1052,2718652
9/17/21,1088,1108,1087,1105,5522491
9/20/21,1076.5,1098.06799,1066,1090.5,747409
9/21/21,1120,1130.5,1072.41602,1076.5,2047842
9/22/21,1150,1157.5,1119,1122,1524602
9/23/21,1130.5,1176.5,1122.25,1150,1206326
9/24/21,1140,1148,1130,1136.5,667794
9/27/21,1140.5,1161,1135.5,1150,906970
9/28/21,1094,1141.5,1088.74402,1140,1683921
9/29/21,1096,1118.5,1092,1092,2520906
9/30/21,1087,1114.96399,1084.5,1100,864214
10/1/21,1057.5,1087,1054.5,1081.5,1033394
10/4/21,1037.5,1071.5,1037.5,1053,1508579
10/5/21,1052,1059.5,1038,1038.5,1085146
10/6/21,1074.5,1083,1034.76001,1043.5,2189904
10/7/21,1099.5,1106,1070,1080.5,1478381
10/8/21,1098.5,1111.5,1083,1104,996376
10/11/21,1012.5,1086.5,1008.5,1085,2782285
10/12/21,928.799988,1010,922.200012,1000.5,6639998
10/13/21,910.799988,934.400024,890,928,3219444
10/14/21,941.400024,954.799988,919.799988,932.799988,1996036
10/15/21,900,956.599976,900,950.599976,2987745
10/18/21,922,948,898.599976,913.200012,2361982
10/19/21,858.200012,949,857,924,9488126
10/20/21,870,884.596008,861,862.200012,2877465
10/21/21,850,870.599976,843.872986,870,3176240
